creation(s),filtering(s),bfs(s),overall runtime(s),whole memory usage(byte)
0.00019979476928710938,0.00019998550415039061,0.0,0.0003997802734375,35801
0.0016009807586669922,0.0059013843536376955,0.00020012855529785156,0.00770249366760254,1050589
0.011200618743896485,0.025902223587036134,0.001000356674194336,0.03810319900512695,5168680
0.4009127616882324,0.6726607322692871,0.02942795753479004,1.1030014514923094,134031184
1.5234853267669677,2.770753860473633,0.13421831130981446,4.428457498550415,538050640

0.00039992332458496096,0.00019998550415039061,0.0,0.0005999088287353515,24988
0.004501438140869141,0.005999851226806641,0.00020008087158203126,0.010701370239257813,1145860
0.02130279541015625,0.025702190399169923,0.0009998798370361329,0.048004865646362305,5168772
0.487441873550415,0.6448780059814453,0.02750225067138672,1.159822130203247,134742935
2.0377901554107667,3.0008673667907715,0.1286130428314209,5.1672705650329585,540741944

0.00019998550415039061,0.00020017623901367188,0.0,0.0004001617431640625,24213
0.00599980354309082,0.008800840377807618,0.0003010749816894531,0.015101718902587892,1640110
0.02940540313720703,0.041205644607543945,0.000999784469604492,0.07161083221435548,7649006
1.0302273750305175,0.9889562129974365,0.03220434188842773,2.051387929916382,198526262
4.37250452041626,4.105338907241821,0.13329834938049318,8.611141777038572,796212534
